Requêtes, Résultats
Requête 15,http://db.uwaterloo.ca/~galuc/wsdbm/User3439,http://db.uwaterloo.ca/~galuc/wsdbm/User5353,
Requête 16,http://db.uwaterloo.ca/~galuc/wsdbm/User12912,
Requête 17,http://db.uwaterloo.ca/~galuc/wsdbm/User38,http://db.uwaterloo.ca/~galuc/wsdbm/User162,http://db.uwaterloo.ca/~galuc/wsdbm/User176,http://db.uwaterloo.ca/~galuc/wsdbm/User195,http://db.uwaterloo.ca/~galuc/wsdbm/User216,http://db.uwaterloo.ca/~galuc/wsdbm/User259,http://db.uwaterloo.ca/~galuc/wsdbm/User299,http://db.uwaterloo.ca/~galuc/wsdbm/User344,http://db.uwaterloo.ca/~galuc/wsdbm/User371,http://db.uwaterloo.ca/~galuc/wsdbm/User556,http://db.uwaterloo.ca/~galuc/wsdbm/User644,http://db.uwaterloo.ca/~galuc/wsdbm/User657,http://db.uwaterloo.ca/~galuc/wsdbm/User680,http://db.uwaterloo.ca/~galuc/wsdbm/User771,http://db.uwaterloo.ca/~galuc/wsdbm/User780,http://db.uwaterloo.ca/~galuc/wsdbm/User888,http://db.uwaterloo.ca/~galuc/wsdbm/User890,http://db.uwaterloo.ca/~galuc/wsdbm/User936,http://db.uwaterloo.ca/~galuc/wsdbm/User989,http://db.uwaterloo.ca/~galuc/wsdbm/User1009,http://db.uwaterloo.ca/~galuc/wsdbm/User1048,http://db.uwaterloo.ca/~galuc/wsdbm/User1071,http://db.uwaterloo.ca/~galuc/wsdbm/User1073,http://db.uwaterloo.ca/~galuc/wsdbm/User1087,http://db.uwaterloo.ca/~galuc/wsdbm/User1142,http://db.uwaterloo.ca/~galuc/wsdbm/User1214,http://db.uwaterloo.ca/~galuc/wsdbm/User1263,http://db.uwaterloo.ca/~galuc/wsdbm/User1281,http://db.uwaterloo.ca/~galuc/wsdbm/User1380,http://db.uwaterloo.ca/~galuc/wsdbm/User1463,http://db.uwaterloo.ca/~galuc/wsdbm/User1475,http://db.uwaterloo.ca/~galuc/wsdbm/User1483,http://db.uwaterloo.ca/~galuc/wsdbm/User1499,http://db.uwaterloo.ca/~galuc/wsdbm/User1503,http://db.uwaterloo.ca/~galuc/wsdbm/User1531,http://db.uwaterloo.ca/~galuc/wsdbm/User1551,http://db.uwaterloo.ca/~galuc/wsdbm/User1614,http://db.uwaterloo.ca/~galuc/wsdbm/User1748,http://db.uwaterloo.ca/~galuc/wsdbm/User1792,http://db.uwaterloo.ca/~galuc/wsdbm/User1794,http://db.uwaterloo.ca/~galuc/wsdbm/User1827,http://db.uwaterloo.ca/~galuc/wsdbm/User1861,http://db.uwaterloo.ca/~galuc/wsdbm/User1893,http://db.uwaterloo.ca/~galuc/wsdbm/User1972,http://db.uwaterloo.ca/~galuc/wsdbm/User2112,http://db.uwaterloo.ca/~galuc/wsdbm/User2122,http://db.uwaterloo.ca/~galuc/wsdbm/User2250,http://db.uwaterloo.ca/~galuc/wsdbm/User2309,http://db.uwaterloo.ca/~galuc/wsdbm/User2351,http://db.uwaterloo.ca/~galuc/wsdbm/User2377,http://db.uwaterloo.ca/~galuc/wsdbm/User2473,http://db.uwaterloo.ca/~galuc/wsdbm/User2651,http://db.uwaterloo.ca/~galuc/wsdbm/User2679,http://db.uwaterloo.ca/~galuc/wsdbm/User2761,http://db.uwaterloo.ca/~galuc/wsdbm/User2814,http://db.uwaterloo.ca/~galuc/wsdbm/User2920,http://db.uwaterloo.ca/~galuc/wsdbm/User2945,http://db.uwaterloo.ca/~galuc/wsdbm/User2963,http://db.uwaterloo.ca/~galuc/wsdbm/User2998,http://db.uwaterloo.ca/~galuc/wsdbm/User3071,http://db.uwaterloo.ca/~galuc/wsdbm/User3090,http://db.uwaterloo.ca/~galuc/wsdbm/User3105,http://db.uwaterloo.ca/~galuc/wsdbm/User3109,http://db.uwaterloo.ca/~galuc/wsdbm/User3122,http://db.uwaterloo.ca/~galuc/wsdbm/User3143,http://db.uwaterloo.ca/~galuc/wsdbm/User3222,http://db.uwaterloo.ca/~galuc/wsdbm/User3367,http://db.uwaterloo.ca/~galuc/wsdbm/User3490,http://db.uwaterloo.ca/~galuc/wsdbm/User3526,http://db.uwaterloo.ca/~galuc/wsdbm/User3591,http://db.uwaterloo.ca/~galuc/wsdbm/User3599,http://db.uwaterloo.ca/~galuc/wsdbm/User3626,http://db.uwaterloo.ca/~galuc/wsdbm/User3631,http://db.uwaterloo.ca/~galuc/wsdbm/User3672,http://db.uwaterloo.ca/~galuc/wsdbm/User3707,http://db.uwaterloo.ca/~galuc/wsdbm/User3729,http://db.uwaterloo.ca/~galuc/wsdbm/User3753,http://db.uwaterloo.ca/~galuc/wsdbm/User3759,http://db.uwaterloo.ca/~galuc/wsdbm/User3777,http://db.uwaterloo.ca/~galuc/wsdbm/User3828,http://db.uwaterloo.ca/~galuc/wsdbm/User3829,http://db.uwaterloo.ca/~galuc/wsdbm/User3939,http://db.uwaterloo.ca/~galuc/wsdbm/User3958,http://db.uwaterloo.ca/~galuc/wsdbm/User4069,http://db.uwaterloo.ca/~galuc/wsdbm/User4115,http://db.uwaterloo.ca/~galuc/wsdbm/User4138,http://db.uwaterloo.ca/~galuc/wsdbm/User4152,http://db.uwaterloo.ca/~galuc/wsdbm/User4282,http://db.uwaterloo.ca/~galuc/wsdbm/User4351,http://db.uwaterloo.ca/~galuc/wsdbm/User4356,http://db.uwaterloo.ca/~galuc/wsdbm/User4368,http://db.uwaterloo.ca/~galuc/wsdbm/User4373,http://db.uwaterloo.ca/~galuc/wsdbm/User4450,http://db.uwaterloo.ca/~galuc/wsdbm/User4589,http://db.uwaterloo.ca/~galuc/wsdbm/User4642,http://db.uwaterloo.ca/~galuc/wsdbm/User4649,http://db.uwaterloo.ca/~galuc/wsdbm/User4678,http://db.uwaterloo.ca/~galuc/wsdbm/User4707,http://db.uwaterloo.ca/~galuc/wsdbm/User4853,http://db.uwaterloo.ca/~galuc/wsdbm/User4875,http://db.uwaterloo.ca/~galuc/wsdbm/User5023,http://db.uwaterloo.ca/~galuc/wsdbm/User5089,http://db.uwaterloo.ca/~galuc/wsdbm/User5105,http://db.uwaterloo.ca/~galuc/wsdbm/User5178,http://db.uwaterloo.ca/~galuc/wsdbm/User5277,http://db.uwaterloo.ca/~galuc/wsdbm/User5329,http://db.uwaterloo.ca/~galuc/wsdbm/User5399,http://db.uwaterloo.ca/~galuc/wsdbm/User5568,http://db.uwaterloo.ca/~galuc/wsdbm/User5595,http://db.uwaterloo.ca/~galuc/wsdbm/User5598,http://db.uwaterloo.ca/~galuc/wsdbm/User5605,http://db.uwaterloo.ca/~galuc/wsdbm/User5890,http://db.uwaterloo.ca/~galuc/wsdbm/User5988,http://db.uwaterloo.ca/~galuc/wsdbm/User6031,http://db.uwaterloo.ca/~galuc/wsdbm/User6072,http://db.uwaterloo.ca/~galuc/wsdbm/User6100,http://db.uwaterloo.ca/~galuc/wsdbm/User6136,http://db.uwaterloo.ca/~galuc/wsdbm/User6267,http://db.uwaterloo.ca/~galuc/wsdbm/User6277,http://db.uwaterloo.ca/~galuc/wsdbm/User6291,http://db.uwaterloo.ca/~galuc/wsdbm/User6296,http://db.uwaterloo.ca/~galuc/wsdbm/User6428,http://db.uwaterloo.ca/~galuc/wsdbm/User6538,http://db.uwaterloo.ca/~galuc/wsdbm/User6579,http://db.uwaterloo.ca/~galuc/wsdbm/User6611,http://db.uwaterloo.ca/~galuc/wsdbm/User6651,http://db.uwaterloo.ca/~galuc/wsdbm/User6834,http://db.uwaterloo.ca/~galuc/wsdbm/User6867,http://db.uwaterloo.ca/~galuc/wsdbm/User6908,http://db.uwaterloo.ca/~galuc/wsdbm/User6923,http://db.uwaterloo.ca/~galuc/wsdbm/User6942,http://db.uwaterloo.ca/~galuc/wsdbm/User6960,http://db.uwaterloo.ca/~galuc/wsdbm/User6990,http://db.uwaterloo.ca/~galuc/wsdbm/User7160,http://db.uwaterloo.ca/~galuc/wsdbm/User7186,http://db.uwaterloo.ca/~galuc/wsdbm/User7284,http://db.uwaterloo.ca/~galuc/wsdbm/User7286,http://db.uwaterloo.ca/~galuc/wsdbm/User7314,http://db.uwaterloo.ca/~galuc/wsdbm/User7345,http://db.uwaterloo.ca/~galuc/wsdbm/User7364,http://db.uwaterloo.ca/~galuc/wsdbm/User7377,http://db.uwaterloo.ca/~galuc/wsdbm/User7451,http://db.uwaterloo.ca/~galuc/wsdbm/User7499,http://db.uwaterloo.ca/~galuc/wsdbm/User7502,http://db.uwaterloo.ca/~galuc/wsdbm/User7590,http://db.uwaterloo.ca/~galuc/wsdbm/User7633,http://db.uwaterloo.ca/~galuc/wsdbm/User7685,http://db.uwaterloo.ca/~galuc/wsdbm/User7697,http://db.uwaterloo.ca/~galuc/wsdbm/User7729,http://db.uwaterloo.ca/~galuc/wsdbm/User7743,http://db.uwaterloo.ca/~galuc/wsdbm/User7784,http://db.uwaterloo.ca/~galuc/wsdbm/User7797,http://db.uwaterloo.ca/~galuc/wsdbm/User7808,http://db.uwaterloo.ca/~galuc/wsdbm/User7819,http://db.uwaterloo.ca/~galuc/wsdbm/User7896,http://db.uwaterloo.ca/~galuc/wsdbm/User7984,http://db.uwaterloo.ca/~galuc/wsdbm/User8058,http://db.uwaterloo.ca/~galuc/wsdbm/User8128,http://db.uwaterloo.ca/~galuc/wsdbm/User8141,http://db.uwaterloo.ca/~galuc/wsdbm/User8159,http://db.uwaterloo.ca/~galuc/wsdbm/User8180,http://db.uwaterloo.ca/~galuc/wsdbm/User8260,http://db.uwaterloo.ca/~galuc/wsdbm/User8269,http://db.uwaterloo.ca/~galuc/wsdbm/User8391,http://db.uwaterloo.ca/~galuc/wsdbm/User8392,http://db.uwaterloo.ca/~galuc/wsdbm/User8426,http://db.uwaterloo.ca/~galuc/wsdbm/User8622,http://db.uwaterloo.ca/~galuc/wsdbm/User8736,http://db.uwaterloo.ca/~galuc/wsdbm/User8753,http://db.uwaterloo.ca/~galuc/wsdbm/User8844,http://db.uwaterloo.ca/~galuc/wsdbm/User8870,http://db.uwaterloo.ca/~galuc/wsdbm/User8900,http://db.uwaterloo.ca/~galuc/wsdbm/User8931,http://db.uwaterloo.ca/~galuc/wsdbm/User9011,http://db.uwaterloo.ca/~galuc/wsdbm/User9113,http://db.uwaterloo.ca/~galuc/wsdbm/User9127,http://db.uwaterloo.ca/~galuc/wsdbm/User9167,http://db.uwaterloo.ca/~galuc/wsdbm/User9169,http://db.uwaterloo.ca/~galuc/wsdbm/User9295,http://db.uwaterloo.ca/~galuc/wsdbm/User9299,http://db.uwaterloo.ca/~galuc/wsdbm/User9584,http://db.uwaterloo.ca/~galuc/wsdbm/User9731,http://db.uwaterloo.ca/~galuc/wsdbm/User9739,http://db.uwaterloo.ca/~galuc/wsdbm/User9744,http://db.uwaterloo.ca/~galuc/wsdbm/User9825,http://db.uwaterloo.ca/~galuc/wsdbm/User9884,http://db.uwaterloo.ca/~galuc/wsdbm/User9900,http://db.uwaterloo.ca/~galuc/wsdbm/User10093,http://db.uwaterloo.ca/~galuc/wsdbm/User10130,http://db.uwaterloo.ca/~galuc/wsdbm/User10163,http://db.uwaterloo.ca/~galuc/wsdbm/User10224,http://db.uwaterloo.ca/~galuc/wsdbm/User10311,http://db.uwaterloo.ca/~galuc/wsdbm/User10377,http://db.uwaterloo.ca/~galuc/wsdbm/User10420,http://db.uwaterloo.ca/~galuc/wsdbm/User10527,http://db.uwaterloo.ca/~galuc/wsdbm/User10530,http://db.uwaterloo.ca/~galuc/wsdbm/User10563,http://db.uwaterloo.ca/~galuc/wsdbm/User10584,http://db.uwaterloo.ca/~galuc/wsdbm/User10601,http://db.uwaterloo.ca/~galuc/wsdbm/User10636,http://db.uwaterloo.ca/~galuc/wsdbm/User10646,http://db.uwaterloo.ca/~galuc/wsdbm/User10810,http://db.uwaterloo.ca/~galuc/wsdbm/User10836,http://db.uwaterloo.ca/~galuc/wsdbm/User10849,http://db.uwaterloo.ca/~galuc/wsdbm/User10878,http://db.uwaterloo.ca/~galuc/wsdbm/User10900,http://db.uwaterloo.ca/~galuc/wsdbm/User10931,http://db.uwaterloo.ca/~galuc/wsdbm/User11061,http://db.uwaterloo.ca/~galuc/wsdbm/User11069,http://db.uwaterloo.ca/~galuc/wsdbm/User11197,http://db.uwaterloo.ca/~galuc/wsdbm/User11342,http://db.uwaterloo.ca/~galuc/wsdbm/User11357,http://db.uwaterloo.ca/~galuc/wsdbm/User11387,http://db.uwaterloo.ca/~galuc/wsdbm/User11407,http://db.uwaterloo.ca/~galuc/wsdbm/User11421,http://db.uwaterloo.ca/~galuc/wsdbm/User11457,http://db.uwaterloo.ca/~galuc/wsdbm/User11523,http://db.uwaterloo.ca/~galuc/wsdbm/User11607,http://db.uwaterloo.ca/~galuc/wsdbm/User11630,http://db.uwaterloo.ca/~galuc/wsdbm/User11639,http://db.uwaterloo.ca/~galuc/wsdbm/User11649,http://db.uwaterloo.ca/~galuc/wsdbm/User11691,http://db.uwaterloo.ca/~galuc/wsdbm/User11834,http://db.uwaterloo.ca/~galuc/wsdbm/User11919,http://db.uwaterloo.ca/~galuc/wsdbm/User11948,http://db.uwaterloo.ca/~galuc/wsdbm/User12004,http://db.uwaterloo.ca/~galuc/wsdbm/User12017,http://db.uwaterloo.ca/~galuc/wsdbm/User12056,http://db.uwaterloo.ca/~galuc/wsdbm/User12078,http://db.uwaterloo.ca/~galuc/wsdbm/User12083,http://db.uwaterloo.ca/~galuc/wsdbm/User12150,http://db.uwaterloo.ca/~galuc/wsdbm/User12225,http://db.uwaterloo.ca/~galuc/wsdbm/User12389,http://db.uwaterloo.ca/~galuc/wsdbm/User12416,http://db.uwaterloo.ca/~galuc/wsdbm/User12423,http://db.uwaterloo.ca/~galuc/wsdbm/User12462,http://db.uwaterloo.ca/~galuc/wsdbm/User12516,http://db.uwaterloo.ca/~galuc/wsdbm/User12618,http://db.uwaterloo.ca/~galuc/wsdbm/User12624,http://db.uwaterloo.ca/~galuc/wsdbm/User12640,http://db.uwaterloo.ca/~galuc/wsdbm/User12703,http://db.uwaterloo.ca/~galuc/wsdbm/User12718,http://db.uwaterloo.ca/~galuc/wsdbm/User12737,http://db.uwaterloo.ca/~galuc/wsdbm/User12806,http://db.uwaterloo.ca/~galuc/wsdbm/User12813,http://db.uwaterloo.ca/~galuc/wsdbm/User12814,http://db.uwaterloo.ca/~galuc/wsdbm/User12822,http://db.uwaterloo.ca/~galuc/wsdbm/User12825,http://db.uwaterloo.ca/~galuc/wsdbm/User12856,http://db.uwaterloo.ca/~galuc/wsdbm/User12950,http://db.uwaterloo.ca/~galuc/wsdbm/User13270,http://db.uwaterloo.ca/~galuc/wsdbm/User13354,http://db.uwaterloo.ca/~galuc/wsdbm/User13418,http://db.uwaterloo.ca/~galuc/wsdbm/User13474,http://db.uwaterloo.ca/~galuc/wsdbm/User13523,http://db.uwaterloo.ca/~galuc/wsdbm/User13602,http://db.uwaterloo.ca/~galuc/wsdbm/User13678,http://db.uwaterloo.ca/~galuc/wsdbm/User13780,http://db.uwaterloo.ca/~galuc/wsdbm/User13804,http://db.uwaterloo.ca/~galuc/wsdbm/User13836,http://db.uwaterloo.ca/~galuc/wsdbm/User13900,http://db.uwaterloo.ca/~galuc/wsdbm/User13938,http://db.uwaterloo.ca/~galuc/wsdbm/User13950,http://db.uwaterloo.ca/~galuc/wsdbm/User14051,http://db.uwaterloo.ca/~galuc/wsdbm/User14081,http://db.uwaterloo.ca/~galuc/wsdbm/User14195,http://db.uwaterloo.ca/~galuc/wsdbm/User14499,http://db.uwaterloo.ca/~galuc/wsdbm/User14549,http://db.uwaterloo.ca/~galuc/wsdbm/User14550,http://db.uwaterloo.ca/~galuc/wsdbm/User14576,http://db.uwaterloo.ca/~galuc/wsdbm/User14577,http://db.uwaterloo.ca/~galuc/wsdbm/User14788,http://db.uwaterloo.ca/~galuc/wsdbm/User14933,http://db.uwaterloo.ca/~galuc/wsdbm/User14957,http://db.uwaterloo.ca/~galuc/wsdbm/User14962,http://db.uwaterloo.ca/~galuc/wsdbm/User15023,http://db.uwaterloo.ca/~galuc/wsdbm/User15033,http://db.uwaterloo.ca/~galuc/wsdbm/User15068,http://db.uwaterloo.ca/~galuc/wsdbm/User15214,http://db.uwaterloo.ca/~galuc/wsdbm/User15244,http://db.uwaterloo.ca/~galuc/wsdbm/User15296,http://db.uwaterloo.ca/~galuc/wsdbm/User15347,http://db.uwaterloo.ca/~galuc/wsdbm/User15362,http://db.uwaterloo.ca/~galuc/wsdbm/User15373,http://db.uwaterloo.ca/~galuc/wsdbm/User15389,http://db.uwaterloo.ca/~galuc/wsdbm/User15496,http://db.uwaterloo.ca/~galuc/wsdbm/User15631,http://db.uwaterloo.ca/~galuc/wsdbm/User15634,http://db.uwaterloo.ca/~galuc/wsdbm/User15705,http://db.uwaterloo.ca/~galuc/wsdbm/User15747,http://db.uwaterloo.ca/~galuc/wsdbm/User15754,http://db.uwaterloo.ca/~galuc/wsdbm/User15806,http://db.uwaterloo.ca/~galuc/wsdbm/User15833,http://db.uwaterloo.ca/~galuc/wsdbm/User15907,http://db.uwaterloo.ca/~galuc/wsdbm/User16109,http://db.uwaterloo.ca/~galuc/wsdbm/User16216,http://db.uwaterloo.ca/~galuc/wsdbm/User16293,http://db.uwaterloo.ca/~galuc/wsdbm/User16386,http://db.uwaterloo.ca/~galuc/wsdbm/User16438,http://db.uwaterloo.ca/~galuc/wsdbm/User16592,http://db.uwaterloo.ca/~galuc/wsdbm/User16751,http://db.uwaterloo.ca/~galuc/wsdbm/User16824,http://db.uwaterloo.ca/~galuc/wsdbm/User16831,http://db.uwaterloo.ca/~galuc/wsdbm/User16848,http://db.uwaterloo.ca/~galuc/wsdbm/User16906,http://db.uwaterloo.ca/~galuc/wsdbm/User16923,http://db.uwaterloo.ca/~galuc/wsdbm/User16992,http://db.uwaterloo.ca/~galuc/wsdbm/User17115,http://db.uwaterloo.ca/~galuc/wsdbm/User17131,http://db.uwaterloo.ca/~galuc/wsdbm/User17614,http://db.uwaterloo.ca/~galuc/wsdbm/User17626,http://db.uwaterloo.ca/~galuc/wsdbm/User17641,http://db.uwaterloo.ca/~galuc/wsdbm/User17747,http://db.uwaterloo.ca/~galuc/wsdbm/User17864,http://db.uwaterloo.ca/~galuc/wsdbm/User17960,http://db.uwaterloo.ca/~galuc/wsdbm/User18054,http://db.uwaterloo.ca/~galuc/wsdbm/User18152,http://db.uwaterloo.ca/~galuc/wsdbm/User18210,http://db.uwaterloo.ca/~galuc/wsdbm/User18214,http://db.uwaterloo.ca/~galuc/wsdbm/User18215,http://db.uwaterloo.ca/~galuc/wsdbm/User18266,http://db.uwaterloo.ca/~galuc/wsdbm/User18409,http://db.uwaterloo.ca/~galuc/wsdbm/User18458,http://db.uwaterloo.ca/~galuc/wsdbm/User18506,http://db.uwaterloo.ca/~galuc/wsdbm/User18529,http://db.uwaterloo.ca/~galuc/wsdbm/User18574,http://db.uwaterloo.ca/~galuc/wsdbm/User18628,http://db.uwaterloo.ca/~galuc/wsdbm/User18781,http://db.uwaterloo.ca/~galuc/wsdbm/User18809,http://db.uwaterloo.ca/~galuc/wsdbm/User18875,http://db.uwaterloo.ca/~galuc/wsdbm/User18971,http://db.uwaterloo.ca/~galuc/wsdbm/User19008,http://db.uwaterloo.ca/~galuc/wsdbm/User19047,http://db.uwaterloo.ca/~galuc/wsdbm/User19223,http://db.uwaterloo.ca/~galuc/wsdbm/User19241,http://db.uwaterloo.ca/~galuc/wsdbm/User19268,http://db.uwaterloo.ca/~galuc/wsdbm/User19279,http://db.uwaterloo.ca/~galuc/wsdbm/User19419,http://db.uwaterloo.ca/~galuc/wsdbm/User19494,http://db.uwaterloo.ca/~galuc/wsdbm/User19501,http://db.uwaterloo.ca/~galuc/wsdbm/User19603,http://db.uwaterloo.ca/~galuc/wsdbm/User19751,http://db.uwaterloo.ca/~galuc/wsdbm/User19833,http://db.uwaterloo.ca/~galuc/wsdbm/User19951,http://db.uwaterloo.ca/~galuc/wsdbm/User494,http://db.uwaterloo.ca/~galuc/wsdbm/User17464,http://db.uwaterloo.ca/~galuc/wsdbm/User19694,
Requête 18,http://db.uwaterloo.ca/~galuc/wsdbm/User3704,http://db.uwaterloo.ca/~galuc/wsdbm/User16485,http://db.uwaterloo.ca/~galuc/wsdbm/User16916,http://db.uwaterloo.ca/~galuc/wsdbm/User19030,
Requête 19,http://db.uwaterloo.ca/~galuc/wsdbm/User11065,http://db.uwaterloo.ca/~galuc/wsdbm/User1710,http://db.uwaterloo.ca/~galuc/wsdbm/User5147,http://db.uwaterloo.ca/~galuc/wsdbm/User12630,
Requête 20,http://db.uwaterloo.ca/~galuc/wsdbm/User17909,
Requête 21,http://db.uwaterloo.ca/~galuc/wsdbm/User13719,
Requête 22,http://db.uwaterloo.ca/~galuc/wsdbm/User571,http://db.uwaterloo.ca/~galuc/wsdbm/User6275,
Requête 23,http://db.uwaterloo.ca/~galuc/wsdbm/User4789,http://db.uwaterloo.ca/~galuc/wsdbm/User15629,http://db.uwaterloo.ca/~galuc/wsdbm/User16256,http://db.uwaterloo.ca/~galuc/wsdbm/User3180,http://db.uwaterloo.ca/~galuc/wsdbm/User6863,
Requête 24,http://db.uwaterloo.ca/~galuc/wsdbm/User5762,http://db.uwaterloo.ca/~galuc/wsdbm/User10519,http://db.uwaterloo.ca/~galuc/wsdbm/User13651,http://db.uwaterloo.ca/~galuc/wsdbm/User13973,http://db.uwaterloo.ca/~galuc/wsdbm/User14376,http://db.uwaterloo.ca/~galuc/wsdbm/User18578,
Requête 25,http://db.uwaterloo.ca/~galuc/wsdbm/User9542,
Requête 26,http://db.uwaterloo.ca/~galuc/wsdbm/User430,http://db.uwaterloo.ca/~galuc/wsdbm/User1334,http://db.uwaterloo.ca/~galuc/wsdbm/User3397,http://db.uwaterloo.ca/~galuc/wsdbm/User3801,
Requête 27,http://db.uwaterloo.ca/~galuc/wsdbm/User2596,http://db.uwaterloo.ca/~galuc/wsdbm/User18027,
Requête 28,http://db.uwaterloo.ca/~galuc/wsdbm/User600,http://db.uwaterloo.ca/~galuc/wsdbm/User12484,http://db.uwaterloo.ca/~galuc/wsdbm/User13651,http://db.uwaterloo.ca/~galuc/wsdbm/User15632,
Requête 29,http://db.uwaterloo.ca/~galuc/wsdbm/User417,http://db.uwaterloo.ca/~galuc/wsdbm/User8013,http://db.uwaterloo.ca/~galuc/wsdbm/User1805,http://db.uwaterloo.ca/~galuc/wsdbm/User4168,http://db.uwaterloo.ca/~galuc/wsdbm/User5895,
Requête 30,http://db.uwaterloo.ca/~galuc/wsdbm/User4179,http://db.uwaterloo.ca/~galuc/wsdbm/User5642,http://db.uwaterloo.ca/~galuc/wsdbm/User6205,http://db.uwaterloo.ca/~galuc/wsdbm/User17619,
Requête 31,http://db.uwaterloo.ca/~galuc/wsdbm/User6211,http://db.uwaterloo.ca/~galuc/wsdbm/User3272,
Requête 32,http://db.uwaterloo.ca/~galuc/wsdbm/User19048,
Requête 33,http://db.uwaterloo.ca/~galuc/wsdbm/User4795,http://db.uwaterloo.ca/~galuc/wsdbm/User9542,http://db.uwaterloo.ca/~galuc/wsdbm/User17118,
Requête 34,http://db.uwaterloo.ca/~galuc/wsdbm/User357,http://db.uwaterloo.ca/~galuc/wsdbm/User2150,http://db.uwaterloo.ca/~galuc/wsdbm/User7065,http://db.uwaterloo.ca/~galuc/wsdbm/User7419,http://db.uwaterloo.ca/~galuc/wsdbm/User11531,http://db.uwaterloo.ca/~galuc/wsdbm/User15962,http://db.uwaterloo.ca/~galuc/wsdbm/User15994,
Requête 35,http://db.uwaterloo.ca/~galuc/wsdbm/User15334,http://db.uwaterloo.ca/~galuc/wsdbm/User18457,
Requête 36,http://db.uwaterloo.ca/~galuc/wsdbm/User14844,
Requête 37,http://db.uwaterloo.ca/~galuc/wsdbm/User2495,http://db.uwaterloo.ca/~galuc/wsdbm/User5444,http://db.uwaterloo.ca/~galuc/wsdbm/User893,http://db.uwaterloo.ca/~galuc/wsdbm/User9256,
Requête 38,http://db.uwaterloo.ca/~galuc/wsdbm/User943,http://db.uwaterloo.ca/~galuc/wsdbm/User2044,http://db.uwaterloo.ca/~galuc/wsdbm/User2424,http://db.uwaterloo.ca/~galuc/wsdbm/User2868,http://db.uwaterloo.ca/~galuc/wsdbm/User4124,http://db.uwaterloo.ca/~galuc/wsdbm/User3499,http://db.uwaterloo.ca/~galuc/wsdbm/User10292,http://db.uwaterloo.ca/~galuc/wsdbm/User10989,
Requête 39,http://db.uwaterloo.ca/~galuc/wsdbm/User7982,http://db.uwaterloo.ca/~galuc/wsdbm/User12346,
Requête 40,http://db.uwaterloo.ca/~galuc/wsdbm/User9261,
Requête 41,http://db.uwaterloo.ca/~galuc/wsdbm/User18773,http://db.uwaterloo.ca/~galuc/wsdbm/User2234,http://db.uwaterloo.ca/~galuc/wsdbm/User12916,
Requête 42,http://db.uwaterloo.ca/~galuc/wsdbm/User9171,http://db.uwaterloo.ca/~galuc/wsdbm/User10333,http://db.uwaterloo.ca/~galuc/wsdbm/User13973,
Requête 43,http://db.uwaterloo.ca/~galuc/wsdbm/User343,http://db.uwaterloo.ca/~galuc/wsdbm/User5566,
Requête 44,http://db.uwaterloo.ca/~galuc/wsdbm/User337,http://db.uwaterloo.ca/~galuc/wsdbm/User2397,
Requête 45,http://db.uwaterloo.ca/~galuc/wsdbm/User8702,http://db.uwaterloo.ca/~galuc/wsdbm/User18384,
